boat_COG	boat_heading	boat_lat	boat_lon	boat_speed	datetime	skiff_COG	skiff_heading	skiff_lat	skiff_lon	skiff_speed
62.94	3.40526784064	60.869145	-147.380688333	1.322	2018-07-26 12:41:25	nan	nan	nan	nan	nan
62.94	3.77011375627	60.869145	-147.380688333	1.322	2018-07-26 12:41:25	nan	nan	nan	nan	nan
62.94	5.07307331731	60.869145	-147.380688333	1.322	2018-07-26 12:41:25	nan	nan	nan	nan	nan
62.94	4.95710576649	60.869145	-147.380688333	1.322	2018-07-26 12:41:25	nan	nan	nan	nan	nan
62.94	6.88006965635	60.869145	-147.380688333	1.322	2018-07-26 12:41:25	nan	nan	nan	nan	nan
62.94	6.85337434035	60.869145	-147.380688333	1.322	2018-07-26 12:41:25	nan	nan	nan	nan	nan
62.94	2.4581825881	60.869145	-147.380688333	1.322	2018-07-26 12:41:25	nan	nan	nan	nan	nan
62.94	1.52130283139	60.869145	-147.380688333	1.322	2018-07-26 12:41:25	nan	nan	nan	nan	nan
62.94	357.567769714	60.869145	-147.380688333	1.322	2018-07-26 12:41:25	nan	nan	nan	nan	nan
62.94	357.50232426	60.869145	-147.380688333	1.322	2018-07-26 12:41:25	nan	nan	nan	nan	nan
62.94	358.633116792	60.869145	-147.380688333	1.322	2018-07-26 12:41:25	nan	nan	nan	nan	nan
62.94	358.598665172	60.869145	-147.380688333	1.322	2018-07-26 12:41:25	nan	nan	nan	nan	nan
62.94	359.817034841	60.869145	-147.380688333	1.322	2018-07-26 12:41:25	nan	nan	nan	nan	nan
62.94	357.991086323	60.869145	-147.380688333	1.322	2018-07-26 12:41:25	nan	nan	nan	nan	nan
62.94	358.049411806	60.869145	-147.380688333	1.322	2018-07-26 12:41:25	nan	nan	nan	nan	nan
62.94	357.831956883	60.869145	-147.380688333	1.322	2018-07-26 12:41:25	nan	nan	nan	nan	nan
62.94	357.623748751	60.869145	-147.380688333	1.322	2018-07-26 12:41:25	nan	nan	nan	nan	nan
62.94	357.190311518	60.869145	-147.380688333	1.322	2018-07-26 12:41:25	nan	nan	nan	nan	nan
62.94	357.282552405	60.869145	-147.380688333	1.322	2018-07-26 12:41:25	nan	nan	nan	nan	nan
62.94	357.135283388	60.869145	-147.380688333	1.322	2018-07-26 12:41:25	nan	nan	nan	nan	nan
62.94	357.607192696	60.869145	-147.380688333	1.322	2018-07-26 12:41:25	nan	nan	nan	nan	nan
62.94	357.623748751	60.869145	-147.380688333	1.322	2018-07-26 12:41:25	nan	nan	nan	nan	nan
62.94	357.402821006	60.869145	-147.380688333	1.322	2018-07-26 12:41:25	nan	nan	nan	nan	nan
62.94	356.402787967	60.869145	-147.380688333	1.322	2018-07-26 12:41:25	nan	nan	nan	nan	nan
62.94	356.567160389	60.869145	-147.380688333	1.322	2018-07-26 12:41:25	nan	nan	nan	nan	nan
62.94	356.133143042	60.869145	-147.380688333	1.322	2018-07-26 12:41:25	nan	nan	nan	nan	nan
62.94	356.273045412	60.869145	-147.380688333	1.322	2018-07-26 12:41:25	nan	nan	nan	nan	nan
62.94	355.115367248	60.869145	-147.380688333	1.322	2018-07-26 12:41:25	nan	nan	nan	nan	nan
62.94	354.35273322	60.869145	-147.380688333	1.322	2018-07-26 12:41:25	nan	nan	nan	nan	nan
62.94	354.565051177	60.869145	-147.380688333	1.322	2018-07-26 12:41:25	nan	nan	nan	nan	nan
62.94	353.512491235	60.869145	-147.380688333	1.322	2018-07-26 12:41:25	nan	nan	nan	nan	nan
